date,url,username,content,link0,link1,link2,link3,link4,url0,url1,url2,url3,url4
2023-05-29T15:00:02+00:00,https://twitter.com/Hyperledger/status/1663198520440938498,Hyperledger,"Join us on May 31 for an in depth technical workshop about how to use Hyperledger AnonCreds to issue and present #VerifiableCredentials and how to use Zero Knowledge Proofs with Indy, Aries and other platforms

https://t.co/4jWVldzr1X https://t.co/w0wtGDaDGm",https://hubs.la/Q01RnVDg0,,,,,https://pbs.twimg.com/media/FxTePW0WIAMw08f?format=jpg&name=orig,,,,
2023-06-01T11:57:20+00:00,https://twitter.com/spherity/status/1664239706492526594,spherity,"📣 Attention #SSI community! We're excited to announce the Aries plugin for @veramolabs for our product, #CARO.

Fully built around Aries RFCs (selective) using Veramo Message Handler architecture, this plug-in supports selective DIDComm messages.

👉https://t.co/PGwgsKXdlq https://t.co/23xol8IEkk",https://github.com/spherity/aries-rfcs-veramo-plugin,,,,,https://pbs.twimg.com/media/FxiRKiDX0AA0URx?format=jpg&name=orig,,,,
2023-05-31T20:07:21+00:00,https://twitter.com/TelegramSam/status/1664000633320640512,TelegramSam,"@rileyphughes @niels_klomp @TimoGlastra @IdentityWoman I kinda mean both, though for different reasons. The protocol defs have a growing home at the DIDComm UG at the DIF. The codebases will continue, with possible adjustments as community chooses.",,,,,,,,,,
2023-05-30T19:32:22+00:00,https://twitter.com/IdentityWoman/status/1663629441652883456,IdentityWoman,"@TimoGlastra @rileyphughes DIDComm is standardized inside DIF. 
That process seems to have gone well. 
People are generally happy with that spec. 
Implementations outside of the Aries/Indy.",,,,,,,,,,
2023-05-30T18:31:58+00:00,https://twitter.com/TimoGlastra/status/1663614243508301825,TimoGlastra,"@IdentityWoman @rileyphughes I think one of the main thing I'm having issues with is that Aries/Indy/AnonCreds/DIDComm are being conflated and therefore the issues of one of them, are issues of all of them.

But that's probably because the early implementations were tightly coupled",,,,,,,,,,
2023-05-30T18:26:03+00:00,https://twitter.com/TimoGlastra/status/1663612753381142531,TimoGlastra,"@IdentityWoman @rileyphughes I'm trying to change my opinion. What do you think we need to do to fix Aries/AnonCreds/Indy/DIDComm?

As I see it, people like DIDComm, are not a fan of the weak standardization process in Aries and hate AnonCreds &amp; Indy.  Does that sum it up?",,,,,,,,,,
2023-06-02T13:19:01+00:00,https://twitter.com/w3c/status/1664622648628764672,w3c,"First Public Working Draft: Verifiable Credentials JSON Schema Specification 2023 
This specifies the models used for Verifiable Credentials, Verifiable Presentations, and explains the relationships between three parties: issuers, holders, and verifiers. 
https://t.co/5PmwUr8Tbs",https://www.w3.org/blog/news/archives/9915,,,,,,,,,
2023-06-01T17:12:30+00:00,https://twitter.com/dblockchaindays/status/1664319020852559889,dblockchaindays,"🤔What is #W3C? Digital Identity, verifiable credentials (W3C) – held by Sten Reijers, founder of https://t.co/oKZwNhzPfb https://t.co/D5f7kAfdl9",http://Ver.iD,,,,,https://pbs.twimg.com/media/FxjZU6kXwAMk9iy?format=jpg&name=orig,,,,
2023-05-30T18:58:49+00:00,https://twitter.com/Officially_Rish/status/1663620998267109380,Officially_Rish,"#DigiYatra built on #W3C standards using Self Sovereign Identity (SSI), Verifiable Credentials (VC), Decentralized Identifiers (#DIDs) &amp; uses a Distributed Ledger for decentralised layer of trust b/w the various participants of the ecosystem.
https://t.co/BIXWWQvNjq",https://www.business-standard.com/article/current-affairs/digiyatra-data-will-be-saved-in-decentralised-manner-says-scindia-122120100546_1.html,,,,,,,,,
2023-05-26T10:50:37+00:00,https://twitter.com/DC4EU_project/status/1662048587264475139,DC4EU_project,How many times have you shown your university diploma? #DC4EU doesn't focus on higher education certificates only but on lifelong learning and micro-credentials on knowledge or competencies. DC4EU aims to make everyday life on campus while ensuring trust. #eidas #eudiw #ebsi #w3c https://t.co/tIktAyPPLT,,,,,,https://pbs.twimg.com/media/FxDHVLlWwAAvqoc?format=jpg&name=orig,,,,
